episode,step,timestamp,task_id,agent_id,state,action
1,19,1743066651.4617484,304,2,"[14.636287689208984, 1.12256920337677]",2
1,19,1743066651.462748,304,3,"[3.2291502952575684, 26.49860954284668]",1
1,19,1743066651.462748,304,4,"[0.9927524924278259, 40.61850357055664]",9
1,19,1743066651.462748,304,5,"[4.511384963989258, 5.624573230743408]",8
1,20,1743066651.4757497,333,0,"[48.54599380493164, 10.649519920349121]",6
1,20,1743066651.4757497,333,1,"[2.817143678665161, 39.36528778076172]",5
1,20,1743066651.4757497,333,2,"[14.636287689208984, 1.12256920337677]",9
1,20,1743066651.4757497,333,3,"[3.2291502952575684, 26.49860954284668]",6
1,20,1743066651.4757497,333,4,"[0.9927524924278259, 40.61850357055664]",3
1,20,1743066651.4767523,333,5,"[4.511384963989258, 5.624573230743408]",8
1,21,1743066651.4877522,412,0,"[48.54599380493164, 10.649519920349121]",2
1,21,1743066651.4877522,412,1,"[2.817143678665161, 39.36528778076172]",4
1,21,1743066651.4877522,412,2,"[14.636287689208984, 1.12256920337677]",3
1,21,1743066651.4887507,412,3,"[3.2291502952575684, 26.49860954284668]",3
1,21,1743066651.4887507,412,4,"[0.9927524924278259, 40.61850357055664]",3
1,21,1743066651.4887507,412,5,"[4.511384963989258, 5.624573230743408]",4
1,22,1743066651.5007498,863,0,"[48.54599380493164, 10.649519920349121]",2
1,22,1743066651.5007498,863,1,"[2.817143678665161, 39.36528778076172]",3
1,22,1743066651.5007498,863,2,"[14.636287689208984, 1.12256920337677]",1
1,22,1743066651.5017498,863,3,"[3.2291502952575684, 26.49860954284668]",1
1,22,1743066651.5017498,863,4,"[0.9927524924278259, 40.61850357055664]",1
1,22,1743066651.5017498,863,5,"[4.511384963989258, 5.624573230743408]",8
1,23,1743066651.51475,673,0,"[48.54599380493164, 10.649519920349121]",9
1,23,1743066651.51475,673,1,"[2.817143678665161, 39.36528778076172]",4
1,23,1743066651.51475,673,2,"[14.636287689208984, 1.12256920337677]",3
1,23,1743066651.51475,673,3,"[3.2291502952575684, 26.49860954284668]",2
1,23,1743066651.51475,673,4,"[0.9927524924278259, 40.61850357055664]",9
1,23,1743066651.5157506,673,5,"[4.511384963989258, 5.624573230743408]",7
1,24,1743066651.5277512,676,0,"[48.54599380493164, 10.649519920349121]",5
1,24,1743066651.5277512,676,1,"[2.817143678665161, 39.36528778076172]",3
1,24,1743066651.5277512,676,2,"[14.636287689208984, 1.12256920337677]",2
1,24,1743066651.5277512,676,3,"[3.2291502952575684, 26.49860954284668]",6
1,24,1743066651.5277512,676,4,"[0.9927524924278259, 40.61850357055664]",7
1,24,1743066651.5287516,676,5,"[4.511384963989258, 5.624573230743408]",9
1,25,1743066651.5407577,905,0,"[48.54599380493164, 10.649519920349121]",3
1,25,1743066651.5407577,905,1,"[2.817143678665161, 39.36528778076172]",9
1,25,1743066651.5407577,905,2,"[14.636287689208984, 1.12256920337677]",5
1,25,1743066651.5417576,905,3,"[3.2291502952575684, 26.49860954284668]",2
1,25,1743066651.5417576,905,4,"[0.9927524924278259, 40.61850357055664]",5
1,25,1743066651.5417576,905,5,"[4.511384963989258, 5.624573230743408]",7
1,26,1743066651.5548723,234,0,"[48.54599380493164, 10.649519920349121]",4
1,26,1743066651.5548723,234,1,"[2.817143678665161, 39.36528778076172]",1
1,26,1743066651.5548723,234,2,"[14.636287689208984, 1.12256920337677]",3
1,26,1743066651.5548723,234,3,"[3.2291502952575684, 26.49860954284668]",6
1,26,1743066651.5548723,234,4,"[0.9927524924278259, 40.61850357055664]",2
1,26,1743066651.5548723,234,5,"[4.511384963989258, 5.624573230743408]",3
1,27,1743066651.567871,801,0,"[48.54599380493164, 10.649519920349121]",4
1,27,1743066651.567871,801,1,"[2.817143678665161, 39.36528778076172]",3
1,27,1743066651.567871,801,2,"[14.636287689208984, 1.12256920337677]",2
